acc_x_raw,acc_y_raw,acc_z_raw,fspb1_raw,fspb2_raw,fspb3_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,imu_temperature,time_ns
-0.00587,0.017829,-9.820838,-0.025424,-0.02813,-9.820783,-0.000161,0.000979,-0.000436,0.0,616029623488
-0.000961,0.00138,-1.40908,-0.003766,-0.005214,-1.409067,0.002017,-0.001269,-0.004985,0.0,615866418112
-0.008599,0.014055,-9.820877,-0.028154,-0.031904,-9.820798,-0.000298,0.000411,0.0005,0.0,615946771680
-0.00699,0.011609,-9.821834,-0.026547,-0.034355,-9.821747,1.4e-5,0.000351,-0.000109,0.0,616083256992
-0.01125,0.009763,-9.823819,-0.030811,-0.036211,-9.823715,-0.000132,7.2e-5,0.000188,0.0,616097888032
-0.00028,0.000446,-0.526641,-0.001328,-0.002018,-0.526636,0.002112,-0.001357,-0.005534,0.0,615861464384
-0.005207,0.014815,-9.820077,-0.02476,-0.031141,-9.820009,6.5e-5,0.000813,-0.000308,0.0,616036940128
-0.010093,0.015037,-9.821121,-0.029648,-0.030924,-9.821044,-0.000309,0.000283,0.000308,0.0,615951638624
-0.005112,0.008678,-9.825724,-0.024676,-0.037304,-9.825627,-4.6e-5,0.000376,0.000364,0.0,616136904256
-0.010478,0.011417,-9.824541,-0.03004,-0.03456,-9.824446,-0.000117,-0.000146,-0.000479,0.0,615983307552
